Priority queue at time: 0
Queue size: 0
Priority queue at time: 999
Queue size: 339
Arrival Time: 10, Processing Time: 1, Priority: 0
Arrival Time: 76, Processing Time: 1, Priority: 0
Arrival Time: 181, Processing Time: 1, Priority: 0
Arrival Time: 720, Processing Time: 1, Priority: 0
Arrival Time: 726, Processing Time: 1, Priority: 0
Arrival Time: 331, Processing Time: 1, Priority: 0
Arrival Time: 696, Processing Time: 1, Priority: 0
Arrival Time: 340, Processing Time: 1, Priority: 0
Arrival Time: 155, Processing Time: 1, Priority: 0
Arrival Time: 636, Processing Time: 1, Priority: 0
Arrival Time: 305, Processing Time: 1, Priority: 0
Arrival Time: 31, Processing Time: 1, Priority: 0
Arrival Time: 254, Processing Time: 1, Priority: 0
Arrival Time: 264, Processing Time: 1, Priority: 0
Arrival Time: 281, Processing Time: 1, Priority: 0
Arrival Time: 566, Processing Time: 1, Priority: 0
Arrival Time: 544, Processing Time: 1, Priority: 0
Arrival Time: 955, Processing Time: 1, Priority: 0
Arrival Time: 990, Processing Time: 1, Priority: 0
Arrival Time: 966, Processing Time: 1, Priority: 0
Arrival Time: 190, Processing Time: 1, Priority: 0
Arrival Time: 214, Processing Time: 1, Priority: 0
Arrival Time: 904, Processing Time: 1, Priority: 0
Arrival Time: 929, Processing Time: 1, Priority: 0
Arrival Time: 426, Processing Time: 1, Priority: 0
Arrival Time: 436, Processing Time: 1, Priority: 0
Arrival Time: 871, Processing Time: 1, Priority: 0
Arrival Time: 856, Processing Time: 1, Priority: 0
Arrival Time: 386, Processing Time: 1, Priority: 0
Arrival Time: 815, Processing Time: 1, Priority: 0
Arrival Time: 826, Processing Time: 1, Priority: 0
Arrival Time: 399, Processing Time: 1, Priority: 0
Arrival Time: 780, Processing Time: 1, Priority: 0
Arrival Time: 766, Processing Time: 1, Priority: 0
Arrival Time: 730, Processing Time: 2, Priority: 0
Arrival Time: 344, Processing Time: 2, Priority: 0
Arrival Time: 681, Processing Time: 2, Priority: 0
Arrival Time: 671, Processing Time: 2, Priority: 0
Arrival Time: 164, Processing Time: 2, Priority: 0
Arrival Time: 659, Processing Time: 2, Priority: 0
Arrival Time: 639, Processing Time: 2, Priority: 0
Arrival Time: 645, Processing Time: 2, Priority: 0
Arrival Time: 40, Processing Time: 2, Priority: 0
Arrival Time: 81, Processing Time: 2, Priority: 0
Arrival Time: 311, Processing Time: 2, Priority: 0
Arrival Time: 625, Processing Time: 2, Priority: 0
Arrival Time: 616, Processing Time: 2, Priority: 0
Arrival Time: 146, Processing Time: 2, Priority: 0
Arrival Time: 574, Processing Time: 2, Priority: 0
Arrival Time: 581, Processing Time: 2, Priority: 0
Arrival Time: 276, Processing Time: 2, Priority: 0
Arrival Time: 269, Processing Time: 2, Priority: 0
Arrival Time: 511, Processing Time: 2, Priority: 0
Arrival Time: 520, Processing Time: 2, Priority: 0
Arrival Time: 119, Processing Time: 2, Priority: 0
Arrival Time: 506, Processing Time: 2, Priority: 0
Arrival Time: 491, Processing Time: 2, Priority: 0
Arrival Time: 69, Processing Time: 2, Priority: 0
Arrival Time: 249, Processing Time: 2, Priority: 0
Arrival Time: 959, Processing Time: 2, Priority: 0
Arrival Time: 900, Processing Time: 2, Priority: 0
Arrival Time: 910, Processing Time: 2, Priority: 0
Arrival Time: 439, Processing Time: 2, Priority: 0
Arrival Time: 876, Processing Time: 2, Priority: 0
Arrival Time: 220, Processing Time: 2, Priority: 0
Arrival Time: 430, Processing Time: 2, Priority: 0
Arrival Time: 839, Processing Time: 2, Priority: 0
Arrival Time: 846, Processing Time: 2, Priority: 0
Arrival Time: 420, Processing Time: 2, Priority: 0
Arrival Time: 819, Processing Time: 2, Priority: 0
Arrival Time: 394, Processing Time: 2, Priority: 0
Arrival Time: 795, Processing Time: 2, Priority: 0
Arrival Time: 49, Processing Time: 2, Priority: 0
Arrival Time: 194, Processing Time: 2, Priority: 0
Arrival Time: 106, Processing Time: 2, Priority: 0
Arrival Time: 381, Processing Time: 2, Priority: 0
Arrival Time: 734, Processing Time: 3, Priority: 0
Arrival Time: 740, Processing Time: 3, Priority: 0
Arrival Time: 45, Processing Time: 3, Priority: 0
Arrival Time: 355, Processing Time: 3, Priority: 0
Arrival Time: 350, Processing Time: 3, Priority: 0
Arrival Time: 691, Processing Time: 3, Priority: 0
Arrival Time: 89, Processing Time: 3, Priority: 0
Arrival Time: 170, Processing Time: 3, Priority: 0
Arrival Time: 161, Processing Time: 3, Priority: 0
Arrival Time: 655, Processing Time: 3, Priority: 0
Arrival Time: 326, Processing Time: 3, Priority: 0
Arrival Time: 316, Processing Time: 3, Priority: 0
Arrival Time: 299, Processing Time: 3, Priority: 0
Arrival Time: 610, Processing Time: 3, Priority: 0
Arrival Time: 600, Processing Time: 3, Priority: 0
Arrival Time: 590, Processing Time: 3, Priority: 0
Arrival Time: 594, Processing Time: 3, Priority: 0
Arrival Time: 6, Processing Time: 3, Priority: 0
Arrival Time: 286, Processing Time: 3, Priority: 0
Arrival Time: 555, Processing Time: 3, Priority: 0
Arrival Time: 35, Processing Time: 3, Priority: 0
Arrival Time: 540, Processing Time: 3, Priority: 0
Arrival Time: 135, Processing Time: 3, Priority: 0
Arrival Time: 999, Processing Time: 3, Priority: 0
Arrival Time: 996, Processing Time: 3, Priority: 0
Arrival Time: 65, Processing Time: 3, Priority: 0
Arrival Time: 494, Processing Time: 3, Priority: 0
Arrival Time: 246, Processing Time: 3, Priority: 0
Arrival Time: 475, Processing Time: 3, Priority: 0
Arrival Time: 945, Processing Time: 3, Priority: 0
Arrival Time: 884, Processing Time: 3, Priority: 0
Arrival Time: 894, Processing Time: 3, Priority: 0
Arrival Time: 409, Processing Time: 3, Priority: 0
Arrival Time: 831, Processing Time: 3, Priority: 0
Arrival Time: 805, Processing Time: 3, Priority: 0
Arrival Time: 775, Processing Time: 3, Priority: 0
Arrival Time: 760, Processing Time: 3, Priority: 0
Arrival Time: 376, Processing Time: 4, Priority: 0
Arrival Time: 370, Processing Time: 4, Priority: 0
Arrival Time: 359, Processing Time: 4, Priority: 0
Arrival Time: 714, Processing Time: 4, Priority: 0
Arrival Time: 706, Processing Time: 4, Priority: 0
Arrival Time: 86, Processing Time: 4, Priority: 0
Arrival Time: 175, Processing Time: 4, Priority: 0
Arrival Time: 666, Processing Time: 4, Priority: 0
Arrival Time: 651, Processing Time: 4, Priority: 0
Arrival Time: 19, Processing Time: 4, Priority: 0
Arrival Time: 619, Processing Time: 4, Priority: 0
Arrival Time: 150, Processing Time: 4, Priority: 0
Arrival Time: 586, Processing Time: 4, Priority: 0
Arrival Time: 296, Processing Time: 4, Priority: 0
Arrival Time: 569, Processing Time: 4, Priority: 0
Arrival Time: 560, Processing Time: 4, Priority: 0
Arrival Time: 549, Processing Time: 4, Priority: 0
Arrival Time: 531, Processing Time: 4, Priority: 0
Arrival Time: 260, Processing Time: 4, Priority: 0
Arrival Time: 525, Processing Time: 4, Priority: 0
Arrival Time: 481, Processing Time: 4, Priority: 0
Arrival Time: 61, Processing Time: 4, Priority: 0
Arrival Time: 126, Processing Time: 4, Priority: 0
Arrival Time: 484, Processing Time: 4, Priority: 0
Arrival Time: 951, Processing Time: 4, Priority: 0
Arrival Time: 241, Processing Time: 4, Priority: 0
Arrival Time: 469, Processing Time: 4, Priority: 0
Arrival Time: 940, Processing Time: 4, Priority: 0
Arrival Time: 236, Processing Time: 4, Priority: 0
Arrival Time: 464, Processing Time: 4, Priority: 0
Arrival Time: 226, Processing Time: 4, Priority: 0
Arrival Time: 880, Processing Time: 4, Priority: 0
Arrival Time: 864, Processing Time: 4, Priority: 0
Arrival Time: 111, Processing Time: 4, Priority: 0
Arrival Time: 859, Processing Time: 4, Priority: 0
Arrival Time: 851, Processing Time: 4, Priority: 0
